status,name,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,btreemap_contains_key_blob_4_1024,210478760,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_contains_key_blob_4_1024::node_load_v1,137597545,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_contains_key_blob_4_1024_v2,293406475,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_contains_key_blob_4_1024_v2::node_load_v2,221192292,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_128_1024,926943319,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_128_1024::node_load_v1,766865961,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_128_1024_v2,1007468700,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_128_1024_v2::node_load_v2,851349165,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_16_1024,301748222,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_16_1024::node_load_v1,191633449,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_16_1024_v2,370128140,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_16_1024_v2::node_load_v2,263395878,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_256_1024,1502343919,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_256_1024::node_load_v1,1295341175,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_256_1024_v2,1577417509,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_256_1024_v2::node_load_v2,1372732602,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_32_1024,337325992,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_32_1024::node_load_v1,217553762,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_32_1024_v2,410492510,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_32_1024_v2::node_load_v2,297534748,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_4_1024,228636956,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_4_1024::node_load_v1,137597256,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_4_1024_v2,314184667,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_4_1024_v2::node_load_v2,221192292,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_512_1024,2651684202,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_512_1024::node_load_v1,2351582014,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_512_1024_v2,2708257297,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_512_1024_v2::node_load_v2,2410457934,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_512_1024_v2_mem_manager,2814881331,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_512_1024_v2_mem_manager::node_load_v2,2508819721,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_64_1024,577674256,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_64_1024::node_load_v1,441791091,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_64_1024_v2,660576120,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_64_1024_v2::node_load_v2,523551588,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_8_1024,271015799,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_8_1024::node_load_v1,164252737,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_8_1024_v2,346911944,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_8_1024_v2::node_load_v2,241490971,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_8_u64,259007647,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_8_u64::node_load_v1,160094807,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_8_u64_v2,351400067,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_blob_8_u64_v2::node_load_v2,241977555,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_blob_8,233097254,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_blob_8::node_load_v1,143539455,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_blob_8_v2,298354095,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_blob_8_v2::node_load_v2,210664848,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_u64,231146399,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_u64::node_load_v1,143446226,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_u64_v2,299229310,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_u64_v2::node_load_v2,213396650,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_u64_v2_mem_manager,390089400,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_get_u64_u64_v2_mem_manager::node_load_v2,286690254,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_10mib_values,5241017656,0,0.00%,0,0,0.00%,3613,0,0.00%
,btreemap_insert_10mib_values::node_load_v2,158720585,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_10mib_values::node_save_v2,4095426800,0,0.00%,0,0,0.00%,3613,0,0.00%
,btreemap_insert_blob_1024_128,5240156308,0,0.00%,52,0,0.00%,262,0,0.00%
,btreemap_insert_blob_1024_128::node_load_v1,4370753436,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_128::node_save_v1,176184515,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_128_v2,5329057513,0,0.00%,52,0,0.00%,196,0,0.00%
,btreemap_insert_blob_1024_128_v2::node_load_v2,4433930796,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_128_v2::node_save_v2,202677765,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_16,5211074337,0,0.00%,52,0,0.00%,241,0,0.00%
,btreemap_insert_blob_1024_16::node_load_v1,4395294750,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_16::node_save_v1,164722892,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_16_v2,5297454832,0,0.00%,52,0,0.00%,181,0,0.00%
,btreemap_insert_blob_1024_16_v2::node_load_v2,4456791682,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_16_v2::node_save_v2,191405846,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_256,5251223699,0,0.00%,52,0,0.00%,292,0,0.00%
,btreemap_insert_blob_1024_256::node_load_v1,4364522733,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_256::node_save_v1,189602900,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_256_v2,5334417656,0,0.00%,52,0,0.00%,219,0,0.00%
,btreemap_insert_blob_1024_256_v2::node_load_v2,4422741202,0,0.00%,0,0,0.00%,0,0,0.00%
